"","p_cntrl2730","p_cncr5987","p_cntrl5081","p_cncr1718","p_cncr2573","p_cncr2035","p_cntrl2972","p_cncr6812","p_cntrl9873","p_cncr4188","p_cncr9002","p_cncr9466","p_cncr8865","p_cntrl5767","p_cncr2978","p_cntrl6376","p_cntrl8387","p_cncr3595","p_cncr4026","p_cncr9591","p_cntrl8413","p_cncr9070","p_cncr6166","p_cncr1817","p_cntrl6666","p_cncr2162","p_cncr1856","p_cncr2882","p_cncr1259","p_cntrl5277"
"00001011101100010011",2552628,59197,271,251500,117750,82746,632,3514,82656,37068,30063,6078,663858,23458,91222,66081,140,6625502,7227,1094,317,32532,287258,64298,11770,24495,3789,86399,553,414193
"00011001101101110000",129929,628306,5908,1184836,1009,182681,307,10124,3074,6736128,128566,10480,13032,2483791,16618,91,914028,700281,205398,54222,1840562,1142,239618,17021391,3671,148771,2518751,162832,2641,2220
"00001011011101111010",15780,94274,61550,1562707,86088,336755,12928,193221,706468,589679,110460,461977,10231,157509,2193,9344,8892,20886,3746020,18628,3760,1995,479650,5845,12361435,7333,5023458,37102,396,540894
"01001101001001010011",731,19274,288727,220425,1747,114617,15146,82,837878,31580,48239,226740,90318,976,243436,95575,6744,19044,10106,691,84151,164118,7573,92625,6352,18218,53663,27657,2416,5396960
"00000001000001100111",99385,252410,338527,104922,1084,250717,129765,86,11699,122046,318119,1460,6363,154880,278296,98361,5457935,280,118,397,3985,103,97534,196650,267850,7664,10222664,121,243,24597
"01000101001100000100",79088,4637957,84602,14303,5283,4996,1814,5815028,4143199,417567,3480,4897,1439926,6347419,104879,485858,477216,209,1827,24931,111251,148,726,4340,12797,581662,41751,1060,1096,53118
"11100001110100011010",2372499,9887,16634,879,1970,571,100884,1249830,713715,351469,178473,30972,78053,1573819,8036,43445,846,3275554,1782083,701372,2223,14198,474104,16318,21697,6163026,304,1169801,275550,201
"10110000011001110001",635149,63945,153623,34,44460,20525,685886,10377,28251,51978,16629,2338011,791,8104701,914289,693,79175,7044,348269,131524,582531,159847,78510,1134837,184006,1530,729289,42328,19691,290788
"00101001001101101111",97497,627,2037,27515,843,30624,26173,69748,344488,14144,49884,4486049,95193,236055,20020,114447,246324,1794,495218,870,70745,823,4520,3073062,37277,25242,247504,607,28848,102195
"10010100100110001011",302866,1648,8448,20589,1,76685,188476,49378,121674,87174,351946,128570,111758,736297,757362,5891886,71073,33,309,200,635,7,83,2608,183455,5,527609,451,16,445191
"10101101001101110010",22574,2194520,3469657,2107368,1599016,90616,365840,55510,2407497,650,77806,7884558,70475,8,638845,231,26222,21522,117662,8380653,549791,46763,2356,17984,30567,47982,108523,3231,364541,1517510
"11010100010011110000",166932,2147,8079559,264,688255,36740,37977,722,94954,12908,449,190789,3247,176247,92590,10269,76800,1444,739055,567,225011,1352577,224675,4213,3214,445963,4561,274425,178044,2869614
"00111000001001011000",3308368,4811,158425,23367,138354,500420,94801,841862,4751819,14525527,375644,28854,4241,14013,2850581,128843,147927,38280,76691,1178832,21411,1934375,11018,14965,26045,8016,20592,174379,29201,85752
"01001010100101001111",5467,136650,78903,347926,61697,363813,3319,722,3169,225861,29261,254496,15895,385770,15431,236847,5881,1894,1186487,34970,8441,1095612,15660,29,14525,1072946,365812,1833517,39541,11624
"10011101011001010001",11946,37830,62627,2385703,3009,1122779,62676,334980,9118,4499,1479679,222498,503551,7416,2093468,60,113,2912,26150,24787,52672,4640,2458346,40071,430031,8922,140332,7303867,24656,554244
"10010001111010010101",38478,397587,3661,5052073,29393,25784,585017,347706,614,320648,23074,346279,9537532,21,118467,24957,10179,100230,184,2461284,23920,13,18226361,713794,2308733,1368,582721,46194,2805,9153
"11000110101001111110",1561406,6442,15345,137817,30459,47702,6246,1571835,2353,144593,23173,18003,1351,6800,153490,53800,37987,71674,62241,6981922,400,394,763586,5503,76742,28186,93784,112215,17210,174212
"11111001100100101101",16817,2822739,711,100893,342,2675,2977900,28580,22348,1290708,942766,37966,587,363151,91445,85488,125433,192,1405,234,1401815,3854,417,54265,28780,261645,10683,1287,2598,18191
"10000100110001111100",120977,130690,17890,651031,169906,148817,407,56369,82864,4772934,80867,285797,475291,35537,269085,494382,8781,28585,84421,1507,17126,107,652,26208,939064,214,109226,38433,6051,18111
"00110001111110010111",2781665,175475,1869655,120431,2712,11831,58084,1130536,117810,34117,748324,486292,1804603,59882,40695,413,130466,31269,206058,94252,154617,90614,4105956,11938,77399,529082,140552,5455,146454,3343222
"01110010101111010100",316040,27379,4397,298288,2516,8863508,3925301,28570,20477,71574,71419,13002,35548,325167,19452,3567,415570,573434,74918,208082,2646,10492,8645653,27403,1656078,66247,451,7844,390023,89865
"01111000100010101001",485946,3307,6039,61491,1601,1936,33729110,2277,2469668,22813,8927,252661,388,436857,965473,792864,468181,301,225,89,176630,3416,16632,41875,492244,47529,372940,100,85447,227128
"11010110011111000101",2079373,20021,67180,7346999,940925,317468,1134353,5800,4242451,8867,132731,3892,52998,21699,352790,81752,62485,331,200714,997,25423,8115,374104,184659,157513,1065444,21483,572,1169618,114444
"00110010010101000100",53850,67780,748,62626,20084,562475,22699,2140123,6511968,42650,6833655,80440,1106,2033932,342103,19889,19859,2326120,30539,64001,742502,1434420,1091381,31266,41335,74610,76919,120320,49644,11425
"00011011111001100000",204139,82841,3517,6197870,847,113929,128656,306982,503358,171902,90587,959584,2732775,4620,2581206,357250,43743,654,609,43841,29122,2038,6262,650886,13894,3241,1952,443342,59510,4697
"10010011011011001001",197,19721,2971085,478961,12659,5029,896183,44381,5802,19447,92196,44182,18611,25624,51568,133199,564599,37853448,5797,62654,21743,72,900257,62690,5154281,81032,216747,15366,432,3120434
"00110110101011000101",6702,5407,280,241664,1851,1206,36885,467324,535974,14308891,996,256,299652,149552,37244,16896,223,13490,718852,111059,237525,37880,40009,23121,53955,10528,84051,100953,2107803,6160
"10001000010101110000",43067,5734,397899,127014,15893,334566,39663,28145,297788,113987,372263,1685379,1260302,209928,135483,18704,682286,13688,5718,37508,19420,24,5042230,7341599,18132,68358,751994,36578,71837,75551
"00011011110110001001",25989697,407725,61389,3623,292,327171,614,108981,1000,58522,194713,178059,1732,261684,3595978,7831,48508,632947,89039,3635347,17712,9,36563,52517,309016,9777,7522601,41912,724,182488
"10100001011011100101",2901,3650,2106268,18263,627,108613,83666,424758,99121,19015,2559,18390,8443,276363,51435,66955,210,213,2911,33445,25331,41539,63510,54739,88714,2364,12794,2006,4201,614
"11010100100100011111",4800701,85237,85338,1118,28178,425525,22302,11444,404036,37523,55081,294712,1348238,3,7057,20047,78001,654,158609,142638,16886005,466,16390455,28640,79564,1292,235532,1197699,163224,262655
"11000111110100001001",12795,55109,23958,9459,2526143,4897,1782,14644,9531377,4958,13418,150256,17759,688642,15366,1970851,237772,3765,82551,251840,83825,169810,1143261,255,4870,414,1795,235985,247099,756065
"01001100110101110100",17129,4716,280092,126938,13567,628,8676,386297,188449,2033,626,1150,148427,195581,36448,58691,10488,6304,1536888,68998,520906,742,2043792,5204009,96324,53786,8336,7336,16808,119547
"10100001011000001000",44688,59337,366814,625,59,2212,2047584,20134,14224,7124,20657,2318,2304,33983,159239,207360,290531,23,8160,20872,5949018,84393,6209,22573,176181,1724,1314,224,8554,208616
"10100100110001110011",428,10064,314153,233800,56471,613,178531,365596,14550,474,4571,92,118323,2042500,54629,77109,815175,364010,2094187,80403,5590,926176,116771,2502,203576,32363,635831,147617,485894,56776
"01100100111001001001",1319253,1182,22474,1203584,260,41530,41086,67516,169498,411,12808,896,147680,11751718,1335,778358,12681,0,296,10035,83144,16536,1128,176950,5134,4562,180687,34362,79,12308
"11000100101011010010",3429,3728,167514,2368,5035,693,300401,331364,676,206723,643398,70,31958,53578,262163,11752,1628,76635,5428,6675,56030,6435890,17657,26357,89529312,284866,92297,134526,11507,421706
"11101001110001110000",608186,462132,6837113,95425,21936,263994,1615544,19798,62613,146234,101094,1027389,9215,7986,1061717,108344,2127148,87518,1663,93274,16341,6120990,6586,925614,628,25872,62421,227291,2031,3141
"11111000100101010001",1336413,16428,2079489,78207,69456,33799,21497,2119738,927,25351,1666,138,52119,10204,472648,161838,4971774,6046,16252,4307,197580,82138,62430,17807,4774908,129511,29768,3529,852297,1062701
"11011000000111000001",71310,408343,88097,3863,10393,95815,1381735,3224,399568,21709,14578,118,31,41626,480967,304346,928773,7,1525,1194,4768,32648,303440,2343046,57029,2869122,58139,98,6671,197
"10011101010010001110",4796,60384,648,11108,99,125166,6139531,2560,11806,442273,116022,209503,237233,7530,3544,1715547,20071,14,409,1532,165286,39,236,831334,8179,107,214152,1874,157,1041740
"11101000100000111100",2493207,1138207,9518,23029,354662,8661,669249,301068,11192,2126646,23499,2053,179959,24701,27948,51545,25385942,5134,1347,28313,5121,9418,9514,126730,4572,543205,6490443,44729,11183,64629
"00001101000101000111",46548,24212,1600,17316,7,15672,11095738,51544,191919,109132,734739,138620,13586,16978,16432,1748,31106,29,227,748,141229,380,1392,60827,11885,8532,21165,720,4,565366
"01001010010101011111",5334,26221,10103,3524014,2866,457679,3478,355788,14049,19234,46802,326349,83772,2232,649,342443,10066,72496,1027992,75048,146085,805047,1554187,5143,15660,3501764,15889,184795,2583,354040
"11111000100000101111",2454645,778840,4565,319074,9460,153683,15814,517279,4946,54765,369749,10090,106850,33666,7391,511332,7410077,12,138,39516,2681291,506410,13837,336069,176460,7431,21466,1059,4291,1339449
"00111100000110111000",906465,656340,2932158,654,316469,196012,792492,165050,71263,9128,18171,76786,2766,740198,944235,487022,572483,12270,3627,4566,953466,4714202,196212,459715,3756312,615144,2100303,244286,14975,37468708
"11000000000101011110",2470892,59002,14525,7874908,602431,36799,2333637,404656,5001,35,75502,128298,4741,704598,11969389,6250,39943,17445,122349,50845,231265,149778,9449854,62869,32445,12224,85160,27036,1282,1694384
"10110110000111111011",1829356,490471,1322252,603241,967340,102725,2835,126384,10486,2832430,18967,126512,2138,83163,189438,1058303,516305,304838,43425,40289,3265,8965,56619,10004,376729,3344,7166443,15021,2298318,6956628
"11110001110000100100",18258071,392138,13272,29462,317,44830,960466,5524,5545669,43086,107622,41839,18846,51362,15476434,47146,1224779,5,8093,4504,135634,66800,8832,657273,146989,24644,5073,430,3105,1482
"10100010000110010001",30221,12666,109450,7375,7327,347525,42956,45573,176770,71,4115162,2050,25591,10899,978,124,297084,25495178,106138,100491,438169,799319,437935,6244694,40418,189,2567,1958202,47693,43501
"11110100101110010001",26514,10665,274078,9146,19664,56860,29467,589904,213378,2946,6297,76721,13729,64018,4503,41696,17762,3021144,78185,26876,24387,70383,8112,90942,31781,746669,13621,22551,5820,8337
"10111101011101111010",740149,169398,154407,404039,43010,1340970,152660,103049,45345,29885,585,24529,526,2592,3746699,204547,9156,195249,5527,321311,143566,21532,3327,46259,7318,59559,1461262,16237,1758,555482
"00000110001101001000",35922,3335,4735,283288,16,35841,132630,2948,186048,586388,117116,31901,508936,25621,344483,907,25006,767746,1073782,4637,13179,23820,157222,210875,34181,16880,114563,11843,110,5764
"10101100100011000001",204737,234839,4458048,1021985,234,169378,5295247,648,131567,51637,1930,1583,1796,100219,39939,96939,645272,140,1464,89700,26581,25958,62148,79160,8249,514,656955,1616,1640,234596
"11110101100000100000",323272,13063,590089,1585,2964,272687,55489,130611,6338472,37634,145,16231,22181,147452,87725,1282003,322019,304,2054,62972,294583,200343,150,117314,51311,218407,5659487,2334,130640,328104
"11010110111110101000",315998,7303,34339,1151169,79727,28295,1483,33282,63102,6057,53608,18646,3111,179091,5806,499225,67594,19158,18809,94937,135623,24709,11913,259568,1277547,786,3534,117421,1176076,492654
"11001101111011110110",92401,71129,6565,1011,3954,8973,132058,516373,754419,342353,2834,65548,249,22151,18484,89415,1546939,212905,47512,162222,534423,9314,2164,51410,212741,26187,87564,137,167547,4479
"11101011001010010001",120610,381196276,175642,448,4351894,690,2848,3961,1630077,5806985,340571,596515,3356,665782,50359,111330,37354,807503,3743,440287,8938,8706,39202,89654,29930,87081,5039,21721,48255,1820948
"01110011011010010011",338146,2266,370228,159030,187084,115342,135068,130761,20183,4760731,5010,7166,479253,4019,1871988,652,551204,97578,63703,199607,67429,17379,3056,8898,9838,50788,3760708,488005,52019,804497
"01000010101101000110",579,27958,238302,566204,25206,1839,2919,136407,291314,10934,8895,2695,1857,7969,2442421,493,413,1243084,532389,281862,20850,4042,153996,480611,753106,240,23805,118389,320192,361198
"00000101111010011000",630789,1141981,82940,107722,4787,2255487,34151,77938,323772,5679851,30255,4670,28786,1139729,9321001,934770,1013497,1970137,3607,4498739,25488,2393,96301,48900,7469,5730,49545,1162398,2264,55375
"11110111001010110000",39726,26965,3372422,379709,17663,825,212836,4328,75481,3664908,9368,2081984,2634,8829,162968,216,12605,266732,3153,20036,513945,2299,2123675,3957,23576,11855,14005,184379,173283,1228045
"00010110101001010100",1071433,1046848,1932263,4819351,140,127469,207177,19771,493,24797,286,449492,3782,2137474,261471,172729,722,742,140095,1262143,515,855,335545,2619436,62051,23717,34643,12219,94,46684
"11000100100100100100",24022780,6097,996270,648608,32654,32693,153079,38065,5624,30186,6279,377,13421,275112,6313,237739,8451,2,2562,573,138372,436,651,82940,432478,87141,3907870,4,1325,171402
"00100000000001001110",637,1520,49324,199852,156,9909,8021585,14189,8251,68369,43981,98929,36519,645013,65416,1415229,90208,11,8560,152,61139,3730,4611,2267673,1170949,278893,87643,449,3362,1546674
"01111010111110010101",7981,188340,143707,6506,9999,72,12310,11648,127809,133604,994,171700,61,31863,17594,1560533,201541,1808624,3826,2914,21879,16932,164913,21352,124616,146936,817861,11554,996,4025
"10110111101010011111",568873,8078,26984317,21937,7915,1490,212587,958860,81428,3057,808,1464494,24356,389674,12899,3007,1188,4442,28707,37562,251843,965,9556,335231,13301,748,17911,403,585436,7617
"01000111011001011100",1927,97863,48844,18109,46794,62090,10610,7436,5207172,6259518,117954,237653,329416,12076,1596806,171422,123,77037,6095,36579,155996,3944703,2573,55183,52892,4322,33338,22322,1548374,12090
"01100100110101011101",269963,18409,58964,7187,152141,1152020,99238,12134,2925,3087,2186450,1439464,21657,106672,107005,54944,498428,11363,193631,11278,125979,2311,21618,790216,183648,19925,35176,2168355,347975,440485
"01010000010101011011",2272472,34924,31217,27102,33687,33468,4952,13612,19265,2729063,123482,358,9590413,380783,124785,73135,42639,9141,18565,49887,11433,1336287,67425,823,216298,5052864,171,59502,4201629,27662
"10000010000110011100",2454940,256556,691110,39927,115830,21717796,902914,2613,6232,303,55472,2129160,290426,13397,1609165,71042,9289,45751,55292,69439,386462,379,669387,12494,547433,5472,2512899,5011214,1638,1330
"00110101110110111100",836610,805,9449062,38026,89164,1102967,849924,3067004,2676,18190,484784,2132013,39356,2622,56390,32261,192911,23056,17689,163527,3991836,102464,131623,363205,85,35553,10766275,4833378,28365,1162967
"01101010000001111001",777034,584569,3839043,62721,190997,187400,11290910,100586,160062,2303338,132541,293968,1202,9190004,4191,135941,22287,664444,474064,168921,158895,86228,14285,1368,454482,2887584,111191,6869894,652069,63163
"11100110010010010110",15424,3877,7957,13491,19370,1258606,502646,5274,5773,463,41619,248489,3350,20568,11545,160035,49138,59,664299,916465,9811,36960,1281203,47401,22349,71940,27838,8724689,722845,275814
"10001001101110011111",17684,406258,39465,1125324,82651,50518,195,375,13095,7813974,5132184,4066068,4293122,61,96756,142717,1427,1804,941562,216179,57256,2029,90695,1261288,13421,1651,2042079,951424,1759,110735
"11110011110000010100",409,184213,21242,17555,384872,377932,31053,1395,20606,62,67571,7561680,795822,404861,312,290457,10473,12773,6211,248394,34208,862060,588694,559193,1154625,1786068,4096,23129,174265,163975
"00101110110001011101",97851,339515,1766329,5317,7920,18910,220070,17908,364661,1595,1661,5677165,465245,26829,23018,284588,14621,64,613,1633,276602,6807,94,18146,59692,4527718,17467,135770,7511,112214
"10001010110010000100",3482671,1207205,9992,3196077,11357,393177,123266,196,83653,7215643,32526,430576,4306085,2635,284359,50234,102222,85173,182093,64677,11010,920,3615,379365,251056,1543,5941,8478,1514,269
"00010101011111000111",4289126,167618,39389,399905,355,45995,251873,18473,12914,262061,2578942,60270,16601,4271,7112747,15662,452915,606,231410,16821,9640,372,804,586787,34541,3889,156670,1053,3,37454
"11011000100111001111",899098,103426,30796,79590,109,8262,59879,37011,4300,1290,28529,43680,15422,1204690,42189,6632959,16079438,27,2799,28934,63607,12696,43149,1858874,82967,337,672564,4559,444,125764
"00110111000110111100",192695,92929,1465,1263213,88643,34398,8151,366086,168845,98558,11269,183108,244502,10299437,214791,197222,4399,12231,104692,3836406,17283594,1180055,197775,689,8000,683,2344,2766839,1759042,7568
"00101000001001101000",3862379,81147,110162,6614,2621,2419,2444,521755,824693,56588,16664,2933,41691,827830,613085,204962,9245,3,496,43,132,4098,1003,23400820,25197,131615,57987,377,733,24595776
"01110010111000011010",500199,747723,498451,2719076,6672,174032,974437,639939,88750,7947,18415,97499,72981,57561,5288,981939,17928,7685,75568,10968,16692,3378,1433,727617,49548,259324,6962546,280576,19392,140346
"10001011110100000001",14698,1634486,119024,256162,9755,1409018,579,37827,862,332745,3802,323604,1196497,185301,1240,18128,793,7444,45858,1123175,1543942,456,5221,589015,12115,5138,127432,2337480,707,628
"01111101011101010000",131,523841,997093,19734,39562,899,305299,43344,29748,15149237,1434852,1760,451149,14562,102597,60027,42339,99942,2660530,9802,20596,281,48,113302,1344580,64134,1775934,27912,1581212,5349401
"01001010010101000101",1238944,92724,120167,1191134,2246,6557,15918,1266528,353,1154931,1670685,21328,44232,712,2022,80665,4857,118519,45117,152306,6802388,7677,219209,155585,20333,21057,146075,846983,722073,2203362
"11100011011000100111",7498,622687,4688426,413995,4738,60848,327871,18073,255563,31332,296767,1351431,102064,424223,430562,293511,67406,73345,678242,418304,8373,8387,240375,3667,1505,341747,1580942,19495,2472,8283
"01000100010011111010",3218224,306232,8962347,5487542,668335,27548,167,218072,84596,314748,12780676,30683,1706006,2357503,2468,2537,17557,505,3929,276499,14631,201,51782,2191,21427,25608,159262,189394,3965759,5921
"11010011010100111100",116654,2373527,727171,494298,1120,74186,145037,964,60348,133643,71937,173167,182347,15379,142643,16944618,6683,5131641,10201,5427,7436,2099,136543,4031557,1215,786791,925,7188,8635,586357
"00101010111011100101",736255,354412,12171,3923974,704423,28099,472122,48641,422998,1391,14603,7337900,21627,91331,347746,269141,44475,12858,2701872,9340,2289425,44938,1093827,116036,53194,68859,6298,94480,306451,1847
"10000011011111100100",6957,7055,173169,432084,211009,21877,5668,18025,13312566,141388,261,63352,2145631,244599,201992,420,104086,31951,754864,34283,69724,24,16906,1204509,16785,20005,253380,21219,275,85255
"01110110110010010011",239418,32314,898700,297608,753,422752,2690927,175002,14906,7908,22873,698806,4647,75582,14234,101995,429265,25584,17381,15865,45835,41615,978,12176,516178,38035,2670375,1223731,19094,4345
"00001010100001001010",63849,22875,229021,303511,10640,24131,1409,1901,190989,175569,9319,25607,1765827,109356,1958,16477,205482,2122072,318112,521534,1400592,32,28303,110473,533675,19498,66873,21025,1303,6915
"00110111110111011101",7787,804193,13707,29,12671,13744,22082,74097,5927448,20250,873761,400053,208530,2240,784569,16611353,3195652,245686,890,777861,56593,1656,169,27363,84508,41744,15228,229,22649,8526
"01001010001110000000",21128,322421,68394,11163,18193,4700,503,993203,23004,1303774,12996584,147908,716837,34871,315933,230230,163293,36580,170196,560995,13246,166,155185,27464,1907939,251618,129010,82367,903235,45009
"00100101010000110011",1466,33295,1126670,193888,7735,111909,150692,167842,118625,15782,55110,15523,9813,3868,1196,68856,21800,1498177,29408,2825205,31490,1845006,175221,396275,687,11712,209136,18978,1932,857
"11001111100100010100",461827,5424,4268,5690061,98579,9134,344910,155359,12652,97846,1266700,116915,201426,245,113556,3080809,2759,1438581,9512,220971,816244,12901,320332,3832,111177,3402,9054,117884,2177,604558
"11000000001110011001",133525,1794006,645074,5295,581610,2296821,1043412,7002,28065,789740,36116398,90927,8720,4317,2669605,10652,5822,34975,47723,818,17116427,7455,2703,92960,23452,5913,112166,1610058,2688,762199
"10011101100010011010",32802,60341,25457,524382,17717,313533,1688487,29990,120218,40232,31520,446607,64383,281214,303010,11053,7937,19099,264981,155075,1476062,114,188023,69526,6219,634,3519,7025,5,4148
"11101110111000100001",819014,3163687,336851,1420450,1558430,2634,89352,1566,3764152,24215,2447732,1923680,6380,1766456,33339,103393,338337,2500,9579,668419,1299926,22399,893033,1346957,125577,2723279,8284,231,425749,2082362
"01111110011011001001",2104094,22024,6121,32810,14240,1556,34496,16069,2039534,296,159497,94215,321177,7857,11626,311902,41788,113937,231476,10962,79318,51178,22661,231373,154621,8452,22734,12143,58308,154596
"00101111000100111110",816496,102182,8439,4133323,2577168,55651,231562,563471,274218,1677936,2579604,342859,25433,16509,326995,592,14133,10424,137372,6020,357977,372681,707424,129111,2015,360343,367124,2253189,241019,4316
"01001110101110010011",92376,28058,10081,199700,273691,47872,83868,288948,778,9219,31741,5408,797,11149,7836,144498,3248731,387549,43087,31746,504696,9995,1829854,127223,45393,12313,363115,58298,603225,136088
"11111001100011000000",443831,136344,290860,30876,0,68873,34816,1458,8968,16786,16442,222,13564,35978,7820,140246,75878,2,187,51,181407,12886,30723,625437,726559,95268,135318,7477,115,591281
"10101001111000010100",99226,82226,155617,4632,1569965,95100,8746,18498,36078,878979,44133,2817,46047,239799,62248,13028,14209,43597,188970,12298,2094472,442321,347825,564311,11560,1015264,14254,41277,196832,153628
"10110111100010011111",6352,8204,201529,1223,2628460,83499,11079,2070,8061136,385660,937,228864,95049,60950,74376,143481,15417,3374,19855,7644,55628,102234,45972,17872,3339,29438,1264,20002,1358169,8321
"01101111110001110111",458174,374517,45104,14232,34962,4267948,321106,74140,7112545,130135,27110,842,3210,2852,191821,6510388,5107,11042508,265,411863,216620,383729,37316,31252078,11366,19185,21390,3147,1051405,9463
"11000111011010010011",9719,32971,67791,253274,377465,1014470,749,22513,1240,626126,99792,1408,79457,84735,4091,1372357,114099,61611,7289,72823,56431,18911,2855132,332468,160851,2716,54386,749066,74573,14461
"11111010111101110000",654155,28389,478777,1967,36483,13935,46486,54161,415550,11025775,129317,12596,15595,27689,129635,18958,500,660643,21834,4208,591,9598,261,46294,12233,575405,70540,6276,250,13184
"01010100010011010001",75,2932,512454,38495,10038,136605,94089,4163,15013,373586,24323,186601,51436,10048,2939,256196,2065206,293,1619,120246,1038,6839684,1524975,145612,854479,590559,28381,95361,2334,499799
"11110010111111110111",347143,253424,9922,821,13682,1850,69895,3443,246669,1198086,164872,5622,66070,345914,7261,38925,614049,321141,187086,3760703,673052,1203,126965,14035,23864,43227,5593594,79250,516758,32693573
"01010000010001100100",5234,29141,23625,193498,19,3309,143396689,344629,56559,4088,4803,2630,1589,22188,59026,29041,113648,11,15,25,865446,3749,476,31825,73990,13782,301409,7295,5625,12150
"01000110110101110111",8672859,3133,78650,402104,486,12702,37535,1569,63263,136270,505508,796655,51210,11754,4061,142020,29827,840,10758748,297809,65822,5148,28941,4786,1944244,68655,506892,2753,24266,111814
"10010011010110011100",833,10746,13418,606810,128,2694,54941,1267909,101428,14289,218626,22240,614816,456119,286661,2642,231037,84112,128613,579665,53340,519,228498,146768,21174,4396,44400,2206,744198,78202
"11100101110111010110",17481,466932,1269690,1643406,6421,5067,152526,373951,104231,2746,6952,2876,107793,4671,529621,114453,24379,186114,49777,65146,908662,167068,98951,1464,270084,66272,213488,445296,847390,527490
"01111100110011001101",4609,24755,61135,9780,3489,29041,7990329,140511,73468,26795,697177,7974,20818,66653,2667,191273,10440933,305,6386,374,147317,1831,53386,14465,60186,1041854,136,1184,546443,134
"01011011000111001111",712710,219926,4444,122766,2255,211171,503589,60966,466767,57032,3922394,1240149,147560,420186,61962,31469,13336096,846022,186897,900,26221,111358,141353,1021,125118,142490,51005,7345,226440,112025
"10011100100110001101",3325159,99383,71620,1836677,366,61858,1978867,1753153,2946164,4714253,2616,5382,235405,11554,52575,693209,435080,1902,12817,5432,8254,352,1431,2549842,145911,2573,688342,7847,43,528
"01011010111000001000",704693,27984,16978,112172,1933338,29357,54437,1775,6646,2714593,106376,16045,4196,4128,16930,172,4048,10000,24459390,1250,2204855,25128,22588,1488732,111165,634776,8594,558168,19840283,209263
"10000100111001110011",82965,365818,5724,211595,12100,502597,33748020,48350,144269,6529423,1925904,581749,7921503,214045,59183,112404,4213,48807,1026,44188,206000,23,45303,2561146,165728,4209,4210432,46229,2382,106134
